Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
My Name Is James,@_JamesGtfo,2024-04-02T22:54:22.000Z,False,Lady Gaga’s most liked Instagram posts so far this year,4,37,545,9K,[],[],[],https://pbs.twimg.com/profile_images/1610033668898037761/FexbNJ8S_normal.jpg,https://twitter.com/_JamesGtfo/status/1775295741134553520,tweet_id:1775295741134553520
Katy Perry Daily Brasil,@katydailybrasil,2024-04-03T13:04:03.000Z,True,Katy Perry x American Idol,1,23,189,3.2K,[],[],[],https://pbs.twimg.com/profile_images/1757200792266706946/kEVv8akg_normal.jpg,https://twitter.com/katydailybrasil/status/1775509569025847547,tweet_id:1775509569025847547
Joey Monda,@joeymonda,2024-04-03T16:53:06.000Z,True,20 million views for a POSTER from one twitter account in 24 hours is actually insane if you think about it,2,24,284,10K,[],[],[],https://pbs.twimg.com/profile_images/1721609817855320064/Dx729OfX_normal.jpg,https://twitter.com/joeymonda/status/1775567213979660467,tweet_id:1775567213979660467
Cristian Blandon,@crispinlb,2024-04-03T00:02:16.000Z,False,"Shakira dejando este planeta, después del mierdero que armó 🤣🤣🔥 te amo ❤️👑🚀🧨",11,36,423,7.8K,[],[],"['\\U0001f923', '\\U0001f923', '\\U0001f525', '\\u2764\\ufe0f', '\\U0001f451', '\\U0001f680', '\\U0001f9e8']",https://pbs.twimg.com/profile_images/1403972091322503168/PwjHozAA_normal.jpg,https://twitter.com/crispinlb/status/1775312825851720168,tweet_id:1775312825851720168
RauwlitoCol,@RauwlitoCol,2024-04-03T20:52:52.000Z,False,Con mis Besties haciendo zoom a las gafas del reel de @shakira de cohete para saber quien la graba 🤭🤭🤭,5,6,76,1.7K,[],['@shakira'],"['\\U0001f92d', '\\U0001f92d', '\\U0001f92d']",https://pbs.twimg.com/profile_images/1766366382633988096/FOgqqyVY_normal.jpg,https://twitter.com/RauwlitoCol/status/1775627553501249647,tweet_id:1775627553501249647
BBC News (World),@BBCWorld,2024-04-02T16:43:09.000Z,True,Afrobeats star Davido to sue over Kenyan April Fool’s joke,50,27,117,130K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775202318532686116,tweet_id:1775202318532686116
Ichigo Niggasake,@SomaKazima,2024-04-02T22:28:32.000Z,True,Minnie took AWF 😭😭😭😭 y'all not about to see her minussy out like that,508,8K,89K,7.8M,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1581475957730336771/SjigoNRL_normal.jpg,https://twitter.com/SomaKazima/status/1775289237044109786,tweet_id:1775289237044109786
Candace Owens,@RealCandaceO,2024-04-02T09:30:28.000Z,True,"Wow, 5 million followers! I remain so grateful to each and every one of you for supporting me on this journey and for believing in me through every life transition. 

Thank you all 🙏",1.5K,2K,57K,2M,[],[],['\\U0001f64f'],https://pbs.twimg.com/profile_images/1668068704393764866/DPtOJuWd_normal.jpg,https://twitter.com/RealCandaceO/status/1775093430588166265,tweet_id:1775093430588166265
Andrew Tate,@Cobratate,2024-04-02T16:34:40.000Z,True,Theyre in trouble...,60,52,2.8K,192K,[],[],[],https://pbs.twimg.com/profile_images/1728837013023895552/nCHrdjlh_normal.jpg,https://twitter.com/Cobratate/status/1775200185796210725,tweet_id:1775200185796210725
Tudo Katy,@tudokatysite,2024-04-03T04:04:44.000Z,True,"""Shoesday Tuesday"" – Áudio de Daisy Dove em nova publicação da Katy Perry Collections. 😍",10,111,443,16K,[],[],['\\U0001f60d'],https://pbs.twimg.com/profile_images/1764485880238985216/PMgde82U_normal.jpg,https://twitter.com/tudokatysite/status/1775373845358092782,tweet_id:1775373845358092782
sky(fan account),@lilmonstertingz,2024-04-03T17:45:31.000Z,False,"joker trailer didn’t release yet, we’re not even close to october and we’re already defending gaga for this harley role.. we’ve got a big storm coming.",3,27,433,7.6K,[],[],[],https://pbs.twimg.com/profile_images/1640065760646012936/gNc1NQX3_normal.jpg,https://twitter.com/lilmonstertingz/status/1775580405111853344,tweet_id:1775580405111853344
Suzie Da Barbie,@SuzieDaBarbie,2024-04-03T05:21:39.000Z,False,"I’ve seen @NICKIMINAJ twice!
Tonight in Bmore and last night in DC
I can say unequivocally that I MUST SEE HER AGAIN BUT FRONT ROW FROM NOW ON!
I WILL forever remember these past two nights!
She’s the undeniable Queen of Rap!
Her fanbase is unmatched!
I’m hooked!",30,231,1.8K,90K,[],['@NICKIMINAJ'],[],https://pbs.twimg.com/profile_images/1775418303428567040/YMgpRLom_normal.jpg,https://twitter.com/SuzieDaBarbie/status/1775393203048288288,tweet_id:1775393203048288288
matt,@youdiscaard,2024-04-03T01:29:23.000Z,False,conan fans when they remember conan is a male 😭😭😭😭😭,5,30,338,6.3K,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1774598159223689216/7tvMo5a7_normal.jpg,https://twitter.com/youdiscaard/status/1775334752062460033,tweet_id:1775334752062460033
meg ✪ FOUND HEAVEN!,@onlineluvrrs,2024-04-03T20:26:47.000Z,False,the fact that conan is still in the same friend group with his ex GIRL LEAVEEEE IF I WERE HIM I WOULDNT TAKE IT ANYMORE ESPECIALLY HOW AWKWARD THAT COULD BE,2,7,109,2.6K,[],[],[],https://pbs.twimg.com/profile_images/1761880427319427073/x-93brgw_normal.jpg,https://twitter.com/onlineluvrrs/status/1775620987578438128,tweet_id:1775620987578438128
kiri found heaven ✪,@kidkrowvinyls,2024-04-04T00:12:33.000Z,False,i think conan started singing one of the songs cause he started singing and then made wide eyes and then stopped LMFAO,2,0,44,784,[],[],[],https://pbs.twimg.com/profile_images/1775679091292909568/rAw6aREF_normal.jpg,https://twitter.com/kidkrowvinyls/status/1775677803649978571,tweet_id:1775677803649978571
dan,@itxdan13,2024-04-03T17:15:00.000Z,False,"Artistas femininas internacionais que venderam mais álbuns no Brasil (pure) 📊🇧🇷#1. Madonna - 5.8M
#2. Enya - 2.6M
#3. Mariah Carey - 2.11M
#4. Shakira - 2.1M
#5. Celine Dion - 1.8M",19,45,356,13K,[],[],"['\\U0001f4ca', '\\U0001f1e7\\U0001f1f7']",https://pbs.twimg.com/profile_images/1765903711123996672/VpAWSPp9_normal.jpg,https://twitter.com/itxdan13/status/1775572722380144947,tweet_id:1775572722380144947
,@Whotfismick,2024-04-03T05:00:06.000Z,True,me when i hear my own voice on a video,169,13K,79K,2.2M,[],[],[],https://pbs.twimg.com/profile_images/1715246910175375360/Um70m4B3_normal.jpg,https://twitter.com/Whotfismick/status/1775387781180633152,tweet_id:1775387781180633152
Bitcoin Magazine,@BitcoinMagazine,2024-04-03T19:45:38.000Z,True,The former President of PayPal is now helping the largest US #Bitcoin exchange integrate the Lightning Network ⚡️Bullish 🚀,145,485,3.2K,114K,['#Bitcoin'],[],"['\\u26a1\\ufe0f', '\\U0001f680']",https://pbs.twimg.com/profile_images/1444022922377576453/AzvXYXGr_normal.jpg,https://twitter.com/BitcoinMagazine/status/1775610630386639358,tweet_id:1775610630386639358
JUAN,@kalisredmoon,2024-04-03T22:11:03.000Z,False,Katy Perry and Jojo Siwa 😭,11,21,287,7.8K,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1770625605995753472/hXwOwWsY_normal.jpg,https://twitter.com/kalisredmoon/status/1775647226187989031,tweet_id:1775647226187989031
nicole,@NicoleMonster23,2024-04-03T14:33:18.000Z,False,the fact that Tony kept all these cards from Gaga I’m so emo😭,4,36,298,7.7K,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1775335386761285632/q30ysSBY_normal.jpg,https://twitter.com/NicoleMonster23/status/1775532028412285225,tweet_id:1775532028412285225
billboard,@billboard,2024-04-02T17:55:12.000Z,True,How Interscope Pioneered the Modern Label’s Approach to Sports,2,2,31,15K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775220452102639659,tweet_id:1775220452102639659
Roberto,@ILoveLMYNL,2024-04-02T21:13:57.000Z,True,"Las únicas, que les quede claro la diferencia entre moda pasajera y leyenda.",7,31,293,7K,[],[],[],https://pbs.twimg.com/profile_images/1772850668874739712/6ofdegk9_normal.jpg,https://twitter.com/ILoveLMYNL/status/1775270470063112559,tweet_id:1775270470063112559
coneworld,@coneworldhq,2024-04-03T23:05:15.000Z,False,the last signed copies of found heaven are available here ⭐️https://talkshop.live/watch/SLXv-mngKp6u…,5,5,100,3.5K,[],[],['\\u2b50\\ufe0f'],https://pbs.twimg.com/profile_images/1756060452000538624/4dG5ThZG_normal.jpg,https://twitter.com/coneworldhq/status/1775660866433921140,tweet_id:1775660866433921140
shakirastuff | fan account,@shakirastuff_,2024-04-04T02:20:53.000Z,True,"🇺🇸 ‘Las Mujeres Ya No Lloran’ Song Peaks on US Billboard Latin Airplay Chart:  

#1. Bzrp Music Sessions, Vol. 53 
#1. Copa Vacía
#1. El Jefe
#1. Monotonía
#1. Puntería
#1. Te Felicito
#1. TQG
#11. Acróstico
#12. (Entre Paréntesis)",0,8,44,590,[],[],['\\U0001f1fa\\U0001f1f8'],https://pbs.twimg.com/profile_images/1759340944015478784/qXQn_3AL_normal.jpg,https://twitter.com/shakirastuff_/status/1775710098603606288,tweet_id:1775710098603606288
Zeddy,@zeddyinnit,2024-04-02T19:44:52.000Z,True,i love the one that actually looks mentally ill,25,73,1.7K,145K,[],[],[],https://pbs.twimg.com/profile_images/1773415778680778752/kLBwN8tn_normal.jpg,https://twitter.com/zeddyinnit/status/1775248051310825622,tweet_id:1775248051310825622
Nostradamus Insider,@insider_nostra1,2024-04-03T05:05:28.000Z,False,Shakira New Tour - Announcement this Month,11,68,388,55K,[],[],[],https://pbs.twimg.com/profile_images/1747372417041735680/W8Tie0wK_normal.jpg,https://twitter.com/insider_nostra1/status/1775389131029328073,tweet_id:1775389131029328073
Pope,@PopeChromaticus,2024-04-03T01:03:11.000Z,False,A Star Is Born. House of Gucci. Joker II. Lady Gaga conquering Hollywood is just insane. 😭,3,35,309,4.9K,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1754104401298681856/l_n4v34s_normal.jpg,https://twitter.com/PopeChromaticus/status/1775328156653871523,tweet_id:1775328156653871523
FEIM,@FeimM_,2024-04-03T16:08:03.000Z,False,SHAKIRA HAS ME DEAD HERE 😂💀,8,26,309,14K,[],[],"['\\U0001f602', '\\U0001f480']",https://pbs.twimg.com/profile_images/1729450485222924288/VNbjU9nG_normal.jpg,https://twitter.com/FeimM_/status/1775555874062217245,tweet_id:1775555874062217245
Johnna,@JohnnaCrider1,2024-04-02T21:28:01.000Z,True,Delete all Meta apps.,9,17,124,68K,[],[],[],https://pbs.twimg.com/profile_images/1771685944569036800/Kch5x-fh_normal.jpg,https://twitter.com/JohnnaCrider1/status/1775274007950225591,tweet_id:1775274007950225591
Katy Perry Today,@todaykatyp,2024-04-03T12:24:22.000Z,True,Katy Perry deserves respect.,38,305,1K,52K,[],[],[],https://pbs.twimg.com/profile_images/1704992986700955648/p2r2sPv7_normal.jpg,https://twitter.com/todaykatyp/status/1775499583767855456,tweet_id:1775499583767855456
Diofa,@JuniorDiofa24,2024-04-03T17:53:44.000Z,False,Les recomiendo a todos que se registren e la página de Shak… 💋,4,6,99,2.5K,[],[],['\\U0001f48b'],https://pbs.twimg.com/profile_images/1496923788742742019/CBg_6plg_normal.jpg,https://twitter.com/JuniorDiofa24/status/1775582471138033817,tweet_id:1775582471138033817
billboard,@billboard,2024-04-02T15:45:10.000Z,True,Golden Globes Sign Five-Year Deal With CBS; Here Are All the Key Dates for the 2025 Show,5,5,39,17K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775187729686450428,tweet_id:1775187729686450428
DogeDesigner,@cb_doge,2024-04-02T14:12:19.000Z,True,"Media: The demand for Tesla products is fading.

Reality: Tesla Model Y was the best selling car on Earth in 2023.",137,68,522,35K,[],[],[],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1775164361943781866,tweet_id:1775164361943781866
BBC News (World),@BBCWorld,2024-04-03T17:20:42.000Z,True,Roofs blown away and trees uprooted after US storms,47,24,103,108K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775574157331177877,tweet_id:1775574157331177877
jas,@iamorjas,2024-04-02T23:39:10.000Z,False,#GagCityBaltimore #GAGCITY 🎀💓,21,143,1.2K,49K,"['#GagCityBaltimore', '#GAGCITY']",[],"['\\U0001f380', '\\U0001f493']",https://pbs.twimg.com/profile_images/1598885105845641217/aVN8b78T_normal.jpg,https://twitter.com/iamorjas/status/1775307012554772628,tweet_id:1775307012554772628
Piers Morgan,@piersmorgan,2024-04-02T12:54:05.000Z,True,"This is so wrong, too. Netanyahu is trying to prevent Israelis from seeing the reality on the ground in Gaza. That’s what autocrats do, not democratic leaders.",1.7K,1.2K,7.6K,1.9M,[],[],[],https://pbs.twimg.com/profile_images/1665249352938389505/owNJOcYL_normal.jpg,https://twitter.com/piersmorgan/status/1775144675885936674,tweet_id:1775144675885936674
Andrew Tate,@Cobratate,2024-04-02T13:10:11.000Z,True,Do you condemn Israel?,728,1.6K,24K,734K,[],[],[],https://pbs.twimg.com/profile_images/1728837013023895552/nCHrdjlh_normal.jpg,https://twitter.com/Cobratate/status/1775148726815727928,tweet_id:1775148726815727928
billboard,@billboard,2024-04-03T22:18:04.000Z,True,There’s An Extended Episode of ‘Vanderpump Rules’ Online -- Here’s How to Watch & Stream the Show Without Cable,8,3,25,17K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775648993495646364,tweet_id:1775648993495646364
Evelyn Janeidy Arevalo,@JaneidyEve,2024-04-03T04:26:38.000Z,True,"𝕮𝖔𝖘𝖒𝖎𝖈 𝕮𝖍𝖗𝖔𝖓𝖎𝖈𝖑𝖊𝖘
SpaceX Achieves Ambitious Goal: 12 Falcon 9 Missions in a Single Month

In pursuit of its ambitious objective to conduct 150 missions in 2024, SpaceX has reached a significant milestone by completing 12 Falcon 9 missions in a single month. SpaceX…",515,851,5.1K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1744957404133859328/VGh65JfB_normal.jpg,https://twitter.com/JaneidyEve/status/1775379359492149627,tweet_id:1775379359492149627
BBC News (World),@BBCWorld,2024-04-02T03:48:09.000Z,True,Microsoft splits Teams and Office globally,37,65,158,167K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775007283266679095,tweet_id:1775007283266679095
Andrew Tate,@Cobratate,2024-03-12T18:25:25.000Z,True,Hard to kill.,3.8K,13K,180K,11M,[],[],[],https://pbs.twimg.com/profile_images/1728837013023895552/nCHrdjlh_normal.jpg,https://twitter.com/Cobratate/status/1767617913198940592,tweet_id:1767617913198940592
Phyllis B,@_Phyllisss_,2024-04-03T06:40:45.000Z,False,#GagCityBaltimore #GAGCITY 🥰🩷 we love you #NickiMinaj,12,107,1K,59K,"['#GagCityBaltimore', '#GAGCITY', '#NickiMinaj']",[],"['\\U0001f970', '\\U0001fa77']",https://pbs.twimg.com/profile_images/1775449280515346432/7SqLb2YD_normal.jpg,https://twitter.com/_Phyllisss_/status/1775413109294776661,tweet_id:1775413109294776661
DogeDesigner,@cb_doge,2024-04-03T04:07:17.000Z,True,"Elon Musk at the screening of ""A Brief History Of The Future"" in New York",185,161,1.2K,51K,[],[],[],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1775374486323216811,tweet_id:1775374486323216811
kiri found heaven ✪,@kidkrowvinyls,2024-04-03T02:47:16.000Z,False,i think bourgeoisieses is supposed to be a mashup of the words “bourgeoisie” and “diseases” kinda like affluenza being a mix of “affluence” and “influenza”,7,23,299,4.1K,[],[],[],https://pbs.twimg.com/profile_images/1775679091292909568/rAw6aREF_normal.jpg,https://twitter.com/kidkrowvinyls/status/1775354352183718216,tweet_id:1775354352183718216
Timor,@HeyTimor_,2024-04-03T13:32:31.000Z,True,"Está divina, ya no es la misma que cuando estaba con Piqué, reina.",28,12,274,36K,[],[],[],https://pbs.twimg.com/profile_images/1756882253949362176/Xm0dclem_normal.jpg,https://twitter.com/HeyTimor_/status/1775516733089939801,tweet_id:1775516733089939801
Keith Coleman,@kcoleman,2024-04-04T00:04:51.000Z,True,Hello 1.4B people - welcome to @CommunityNotes!,3,10,72,11K,[],['@CommunityNotes'],[],https://pbs.twimg.com/profile_images/1093367487566012416/9Wc1J-Pk_normal.jpg,https://twitter.com/kcoleman/status/1775675864623337972,tweet_id:1775675864623337972
',@gagaculturepop,2024-04-03T17:39:13.000Z,False,"""Judas"" received 492,957 streams this Tuesday 🌟🖤",0,15,147,1.6K,[],[],"['\\U0001f31f', '\\U0001f5a4']",https://pbs.twimg.com/profile_images/1593294380265267202/mWeF0IcN_normal.jpg,https://twitter.com/gagaculturepop/status/1775578817899213122,tweet_id:1775578817899213122
billboard,@billboard,2024-04-03T20:00:31.000Z,True,"Inside the ‘Evolution’ of Record Label Radio Staffs, as Layoffs Hit Promotions Departments Hard",1,3,27,16K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775614376679981497,tweet_id:1775614376679981497
U.S. Radio Updater,@USRadioUpdater,2024-04-03T10:38:59.000Z,True,"Other notable adds on US Rhythmic Radio this week

•Enough (Miami) @iamcardib (3)
•Get It Sexyy @SexyyRed314_ (3)
•Punteria @shakira ft. @iamcardib (3)
•Spaghettii @Beyonce ft. #LindaMartell & @ShaboozeysJeans (1)
•Tyrant @Beyonce ft. @DollyParton (1)
•Ya Ya @Beyonce (1)…",57,240,874,58K,['#LindaMartell'],"['@iamcardib', '@SexyyRed314_', '@shakira', '@iamcardib', '@Beyonce', '@ShaboozeysJeans', '@Beyonce', '@DollyParton', '@Beyonce']",[],https://pbs.twimg.com/profile_images/1651300789011218433/vFjXH9VD_normal.jpg,https://twitter.com/USRadioUpdater/status/1775473060801302672,tweet_id:1775473060801302672
Zeddy,@zeddyinnit,2024-04-03T18:49:22.000Z,True,some of y’all were really expecting her to sound like this in a movie as serious as joker 😭😭,11,147,1.4K,77K,[],[],"['\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1773415778680778752/kLBwN8tn_normal.jpg,https://twitter.com/zeddyinnit/status/1775596471645077567,tweet_id:1775596471645077567
jett ⍟ found heaven,@jigsawjett,2024-04-03T18:11:46.000Z,False,WAIT SO IT IS THE FINAL FLIGHT??????,3,6,107,3.3K,[],[],[],https://pbs.twimg.com/profile_images/1774899274947477504/9Naqvmc2_normal.jpg,https://twitter.com/jigsawjett/status/1775587009324634562,tweet_id:1775587009324634562
Kathleen,@sweatsntopknots,2024-04-03T12:42:52.000Z,True,"This morning, at the gas station, there was a guy in front of me trying to get $4 worth of gas. His card kept getting declined and you could see how embarrassed he was. After the third time of watching this happen I decided to jump in and offer to pay for his gas… except I…",2.9K,2.4K,42K,2.4M,[],[],[],https://pbs.twimg.com/profile_images/1772344738521239552/VrMvwd2O_normal.jpg,https://twitter.com/sweatsntopknots/status/1775504237033570417,tweet_id:1775504237033570417
Ellen !! FH,@STARabovethebay,2024-04-03T22:04:25.000Z,False,HE SAID NO CONMENTS TO BOYS & GIRLS BRUH WTF,2,4,51,1.1K,[],[],[],https://pbs.twimg.com/profile_images/1775601722607443969/eOrskwfn_normal.jpg,https://twitter.com/STARabovethebay/status/1775645559744778430,tweet_id:1775645559744778430
a girl,@buggirl29,2024-04-03T04:28:46.000Z,True,When Richard said he was going to retire soon in season 1,90,5.1K,79K,3.8M,[],[],[],https://pbs.twimg.com/profile_images/1766653747063914496/0xnRIUBZ_normal.jpg,https://twitter.com/buggirl29/status/1775379895746724094,tweet_id:1775379895746724094
cinesthetic.,@TheCinesthetic,2024-04-03T08:58:56.000Z,True,"Joker: Folie à Deux, featuring Joaquin Phoenix and Lady Gaga, has been given an R rating due to:

- Occasional instances of strong violence
- Frequent use of explicit language
- Depictions of sexuality
- Brief scenes of full nudity",53,177,2.3K,144K,[],[],[],https://pbs.twimg.com/profile_images/1385452682517745667/mfcIUnoX_normal.jpg,https://twitter.com/TheCinesthetic/status/1775447882415636953,tweet_id:1775447882415636953
sihaya,@R0SYLNS,2024-04-03T16:26:32.000Z,False,this is actually nuts LMAO,13,2K,37K,1.4M,[],[],[],https://pbs.twimg.com/profile_images/1769465344169496576/0yQA5OnL_normal.jpg,https://twitter.com/R0SYLNS/status/1775560527353139689,tweet_id:1775560527353139689
billboard latin,@billboardlatin,2024-04-03T18:00:23.000Z,True,‘Las Mujeres Ya No Lloran’ de Shakira debuta en el No. 1 de Top Latin Albums y Latin Pop Albums,0,49,255,6K,[],[],[],https://pbs.twimg.com/profile_images/1572245935148744717/kJs_dWfd_normal.jpg,https://twitter.com/billboardlatin/status/1775584143583092967,tweet_id:1775584143583092967
Diofa,@JuniorDiofa24,2024-04-03T18:58:41.000Z,False,Después de US el país que más tendrá fechas será México 🇲🇽 hablan de unas 8 en dicho país 😳,16,10,131,7.3K,[],[],"['\\U0001f1f2\\U0001f1fd', '\\U0001f633']",https://pbs.twimg.com/profile_images/1496923788742742019/CBg_6plg_normal.jpg,https://twitter.com/JuniorDiofa24/status/1775598814251888955,tweet_id:1775598814251888955
Andrew Tate,@Cobratate,2023-02-10T11:25:47.000Z,True,"Mental fragility is promoted at every opportunity and people wonder why depression increases.  

Because it’s taboo to tell people to think stronger, be stronger or act stronger.  

We’re told to cave instantly to all of our emotions all of the time.  

It’s dangerous.",537,2.3K,20K,1.4M,[],[],[],https://pbs.twimg.com/profile_images/1728837013023895552/nCHrdjlh_normal.jpg,https://twitter.com/Cobratate/status/1624006711852793857,tweet_id:1624006711852793857
ًnash found heaven ✪,@liquorcupss,2024-04-03T17:39:26.000Z,False,conan was at billie’s party…no photo….conan met his lost twin dua…no photo…conan met lorde…no photo…,1,5,62,1.2K,[],[],[],https://pbs.twimg.com/profile_images/1774314329665343488/DYL4Lh05_normal.jpg,https://twitter.com/liquorcupss/status/1775578871569453566,tweet_id:1775578871569453566
Deee Spane,@HausofSpane,2024-04-03T04:21:15.000Z,False,"Looks like that LG7 process is going in reverse, she was recording in January, mastering in February and... writing in March???, Gaga what's happening?",34,59,840,48K,[],[],[],https://pbs.twimg.com/profile_images/1775267842352721920/9CIoDY4-_normal.jpg,https://twitter.com/HausofSpane/status/1775378001074516444,tweet_id:1775378001074516444
•K•,@TheBoyCabra,2024-04-04T02:02:25.000Z,False,Puntería de Shakira & Cardi B... 🎯🏹#3 en tendencia de música!😭👑,0,10,107,934,[],[],"['\\U0001f3af', '\\U0001f3f9', '\\U0001f62d', '\\U0001f451']",https://pbs.twimg.com/profile_images/1772238533668814848/89LzlSL8_normal.jpg,https://twitter.com/TheBoyCabra/status/1775705451616674162,tweet_id:1775705451616674162
E! News,@enews,2024-04-02T22:01:36.000Z,True,We’re tipping our hats to #KatyPerry’s look at the #iHeartAwards2024. 😉,11,83,481,29K,"['#KatyPerry', '#iHeartAwards2024']",[],['\\U0001f609'],https://pbs.twimg.com/profile_images/1589726783917654020/DqxOturq_normal.jpg,https://twitter.com/enews/status/1775282459573457165,tweet_id:1775282459573457165
Jon Cooper,@joncoopertweets,2024-04-03T15:37:04.000Z,False,"I don’t believe most presidential polls, partly because I’ve personally NEVER been polled in my entire life — not even once. 

How about you — have you ever been polled about who you support for president? 🤔",2.8K,1K,8K,304K,[],[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1775620308055060480/zLBPvirg_normal.jpg,https://twitter.com/joncoopertweets/status/1775548077392154716,tweet_id:1775548077392154716
Katy Perry Today,@todaykatyp,2024-04-03T12:56:22.000Z,True,Katy Perry for the next episode of American Idol.,6,101,830,12K,[],[],[],https://pbs.twimg.com/profile_images/1704992986700955648/p2r2sPv7_normal.jpg,https://twitter.com/todaykatyp/status/1775507635434819807,tweet_id:1775507635434819807
Altcoin Daily,@AltcoinDailyio,2024-04-03T17:05:35.000Z,True,JUST IN: Coinbase to integrate #BTC Lightning Network!,197,241,1.7K,80K,['#BTC'],[],[],https://pbs.twimg.com/profile_images/1477451940611035136/hQByG8MW_normal.png,https://twitter.com/AltcoinDailyio/status/1775570355555574195,tweet_id:1775570355555574195
Andrew Tate,@Cobratate,2023-11-15T07:48:46.000Z,True,GM,993,1K,24K,1.9M,[],[],[],https://pbs.twimg.com/profile_images/1728837013023895552/nCHrdjlh_normal.jpg,https://twitter.com/Cobratate/status/1724695926273388614,tweet_id:1724695926273388614
billboard,@billboard,2024-04-02T23:44:06.000Z,True,Must-Have Makeup: 9 New Beauty Products to Buy for Spring 2024,1,5,44,24K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775308256509886731,tweet_id:1775308256509886731
BBC News (World),@BBCWorld,2024-04-02T09:45:12.000Z,True,Republican Speaker Johnson makes fresh push for Ukraine aid,82,46,235,136K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775097139489550788,tweet_id:1775097139489550788
i be like… DO IT 4 MY BABY!,@SUCKAW0RLD,2024-04-03T04:23:53.000Z,True,oh bitch she ate it up times 10 tonight for baltimore,32,308,2K,58K,[],[],[],https://pbs.twimg.com/profile_images/1647785395252498433/RC5tma42_normal.jpg,https://twitter.com/SUCKAW0RLD/status/1775378664915399157,tweet_id:1775378664915399157
Andrew Tate,@Cobratate,2024-04-02T17:55:27.000Z,True,"From William Wallace screaming ""FREEDOM"" to being afraid of words.

Scots, what happened?",541,663,7.6K,555K,[],[],[],https://pbs.twimg.com/profile_images/1728837013023895552/nCHrdjlh_normal.jpg,https://twitter.com/Cobratate/status/1775220516921434498,tweet_id:1775220516921434498
MyDoge Wallet,@MyDogeOfficial,2024-04-03T17:00:50.000Z,True,Doge is Everywhere 🌍💫,34,57,365,7.5K,[],[],"['\\U0001f30d', '\\U0001f4ab']",https://pbs.twimg.com/profile_images/1656530956801523719/SC7nEKMa_normal.png,https://twitter.com/MyDogeOfficial/status/1775569156974215654,tweet_id:1775569156974215654
billboard,@billboard,2024-04-02T17:22:05.000Z,True,Usher Reveals His Super Bowl Strategy — And The Halftime Veteran Who ‘Gave Me Some Notes’,3,5,39,17K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775212118117056827,tweet_id:1775212118117056827
BBC News (World),@BBCWorld,2024-04-03T04:48:07.000Z,True,Kirsten Dunst: 'I didn't even think to ask for equal pay',58,36,155,209K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775384766272987323,tweet_id:1775384766272987323
Andrew Tate,@Cobratate,2024-04-03T15:10:58.000Z,True,"Is it Gods will for you to demonstrate that you have no souls?

Were you chosen by God to show that you’re heartless monsters?

Is it Gods intention for the entire world to be disgusted by your actions?",542,543,4.5K,336K,[],[],[],https://pbs.twimg.com/profile_images/1728837013023895552/nCHrdjlh_normal.jpg,https://twitter.com/Cobratate/status/1775541507560247639,tweet_id:1775541507560247639
